season,team,score,name_he,name_el,player_code,il_games,il_min,il_pir,el_games,el_min,el_pir
2024,TEL,0.875,רומן סורקין,"SORKIN, ROMAN",11219,24,24.2,13.9,33.0,23.36060606060606,11.93939393939394
2025,HTA,0.857,טאי אודיאסי,"ODIASE, TAI",11823,19,20.7,15.0,25.0,12.599333333333332,4.6
2023,TEL,0.824,בונזי קולסון,"COLSON, BONZIE",9783,16,24.4,11.9,34.0,28.0406862745098,14.705882352941176
2022,TEL,0.824,בונזי קולסון,"COLSON, BONZIE",9783,19,20.9,11.5,34.0,25.903431372549026,13.676470588235292
2024,TEL,0.824,ליוואי רנדולף,"RANDOLPH, LEVI",13382,22,26.1,15.4,33.0,27.725757575757576,12.151515151515152
2023,TEL,0.8,ג'וש ניבו,"NEBO, JOSH",11199,21,20.3,15.1,33.0,23.288888888888888,16.727272727272727
2022,TEL,0.8,ג'וש ניבו,"NEBO, JOSH",11199,20,17.8,11.6,34.0,22.034803921568624,11.941176470588236
2025,HTA,0.778,ג'ונתן מוטלי,"MOTLEY, JOHNATHAN",11157,22,21.1,15.4,32.0,15.559375,8.9375
2024,TEL,0.778,רוקאס יוקובאיטיס,"JOKUBAITIS, ROKAS",7519,22,22.6,14.6,28.0,24.464285714285715,15.571428571428571
2022,TEL,0.778,ווייד בולדווין,"BALDWIN IV, WADE",9863,16,22.0,14.9,29.0,27.672988505747124,16.448275862068964
2023,TEL,0.778,ווייד בולדווין,"BALDWIN IV, WADE",9863,16,22.4,12.9,27.0,28.24135802469136,19.51851851851852
2025,TEL,0.769,וויל ריימן,"RAYMAN, WILLIAM",13381,26,18.6,10.4,38.0,11.973245614035088,2.763157894736842
2024,TEL,0.769,וויל ריימן,"RAYMAN, WILLIAM",13381,23,12.9,3.4,33.0,11.39090909090909,3.272727272727273
2023,TEL,0.769,חסיאל ריברו,"RIVERO, JASIEL",11214,18,19.6,17.5,34.0,15.52450980392157,8.735294117647058
2022,TEL,0.762,ג'ון דיברתולומיאו,"DIBARTOLOMEO, JOHN",7990,26,20.7,9.0,34.0,16.721078431372547,6.264705882352941
2024,TEL,0.762,ג'ון דיברתולומיאו,"DIBARTOLOMEO, JOHN",7990,25,19.0,6.7,33.0,17.421212121212122,5.212121212121212
2023,TEL,0.762,ג'ון דיברתולומיאו,"DIBARTOLOMEO, JOHN",7990,21,22.0,10.9,24.0,14.865972222222224,5.916666666666667
2025,TEL,0.762,ג'ון דיברתולומיאו,"DIBARTOLOMEO, JOHN",7990,25,19.8,8.5,27.0,14.329629629629627,4.481481481481482
2025,TEL,0.75,מרסיו סנטוס,"SANTOS, MARCIO",13289,21,18.4,11.8,37.0,14.065765765765764,5.972972972972973
